source_file,csv_name,C:\Users\kschi\OneDrive\Desktop\Placards\TEST_SVGs\020NOBL_clean.svg,area,area_est,axis,bbox_area_sum,bin_center,check,commands,count,coverage_percent,def_id,file,fill,has_HV,href,id,index,kind_prop,opacity,rank,stroke,stroke_width,tag,value,vb_area
020NOBL_clean,elements.csv,,,,,,,,M:1 Z:1,,,,,,0,,font_8_3,33,,,,,,path,,
020NOBL_clean,elements.csv,,,0.40,,,,,M:1 V:6 H:6 Z:1,,,,,,1,,font_8_43,34,,,,,,path,,
020NOBL_clean,elements.csv,,,0.46,,,,,M:2 V:3 H:6 C:3 L:2 Z:1,,,,,,1,,font_8_53,35,,,,,,path,,
020NOBL_clean,elements.csv,,,0.51,,,,,M:2 V:2 H:4 C:2 Z:1,,,,,,1,,font_8_39,36,,,,,,path,,
020NOBL_clean,elements.csv,,,0.46,,,,,M:2 V:3 H:5 C:2 Z:1,,,,,,1,,font_8_51,37,,,,,,path,,
020NOBL_clean,elements.csv,,,0.41,,,,,M:1 V:4 H:4 Z:1,,,,,,1,,font_8_55,38,,,,,,path,,
020NOBL_clean,elements.csv,,,0.07,,,,,M:1 V:2 H:2 Z:1,,,,,,1,,font_8_44,39,,,,,,path,,
020NOBL_clean,elements.csv,,,0.47,,,,,M:1 C:2 L:1 Z:1,,,,,,0,,font_8_38,40,,,,,,path,,
020NOBL_clean,elements.csv,,,0.49,,,,,M:1 V:4 H:5 L:4 C:1 Z:1,,,,,,1,,font_8_48,41,,,,,,path,,
020NOBL_clean,elements.csv,,,0.66,,,,,M:1 H:5 L:7 C:3 Z:1,,,,,,1,,font_8_58,42,,,,,,path,,
020NOBL_clean,elements.csv,,,0.40,,,,,M:1 V:4 H:4 L:2 Z:1,,,,,,1,,font_8_49,43,,,,,,path,,
020NOBL_clean,elements.csv,,,0.42,,,,,M:1 V:3 L:2 C:2 H:1 Z:1,,,,,,1,,font_8_42,44,,,,,,path,,
020NOBL_clean,elements.csv,,,0.47,,,,,M:1 H:3 L:3 C:1 Z:1,,,,,,1,,font_8_57,45,,,,,,path,,
020NOBL_clean,elements.csv,,,,,,,,,,,,,,0,,clip_9,46,,,,,,clipPath,,
020NOBL_clean,elements.csv,,,969287.04,,,,,M:1 H:2 V:2,,,,,,1,,,47,,,,,,path,,
020NOBL_clean,elements.csv,,,0.51,,,,,M:2 C:2 Z:1,,,,,,0,,font_8_50,48,,,,,,path,,
020NOBL_clean,elements.csv,,,0.35,,,,,M:1 V:5 H:5 Z:1,,,,,,1,,font_8_41,49,,,,,,path,,
020NOBL_clean,elements.csv,,,0.34,,,,,M:1 H:2 V:4 C:2 Z:1,,,,,,1,,font_8_56,50,,,,,,path,,
020NOBL_clean,elements.csv,,,0.04,,,,,M:1 V:2 H:2 C:2 L:1 Z:1,,,,,,1,,font_8_15,51,,,,,,path,,
020NOBL_clean,elements.csv,,,0.01,,,,,M:1 V:2 H:2 Z:1,,,,,,1,,font_8_17,52,,,,,,path,,
020NOBL_clean,elements.csv,,,0.34,,,,,M:1 C:3 L:2 Z:1,,,,,,0,,font_8_22,53,,,,,,path,,
020NOBL_clean,elements.csv,,,0.21,,,,,M:1 H:2 L:1 Z:1,,,,,,1,,font_8_18,54,,,,,,path,,
020NOBL_clean,elements.csv,,,0.34,,,,,M:3 C:3 Z:1,,,,,,0,,font_8_27,55,,,,,,path,,
020NOBL_clean,elements.csv,,,0.07,,,,,M:2 V:4 H:4 L:2 Z:1,,,,,,1,,font_8_5,56,,,,,,path,,
020NOBL_clean,elements.csv,,,0.41,,,,,M:1 V:4 L:2 C:1 H:4 Z:1,,,,,,1,,font_8_61,57,,,,,,path,,
020NOBL_clean,elements.csv,,,0.82,,,,,M:1 C:2 H:2 Z:1,,,,,,1,,font_8_11,58,,,,,,path,,
020NOBL_clean,elements.csv,,,,,,,,M:1 H:2 C:2 Z:1,,,,,,1,,font_8_12,59,,,,,,path,,
020NOBL_clean,elements.csv,,,0.05,,,,,M:2 V:4 H:4 Z:1,,,,,,1,,font_8_29,60,,,,,,path,,
020NOBL_clean,elements.csv,,,0.45,,,,,M:1 V:1 H:2 C:2 L:1 Z:1,,,,,,1,,font_8_21,61,,,,,,path,,
020NOBL_clean,elements.csv,,,0.34,,,,,M:2 C:2 Z:1,,,,,,0,,font_8_19,62,,,,,,path,,
020NOBL_clean,elements.csv,,,0.41,,,,,M:1 V:2 H:3 C:2 Z:1,,,,,,1,,font_8_26,63,,,,,,path,,
020NOBL_clean,elements.csv,,,0.34,,,,,M:1 C:2 L:2 H:2 V:1 Z:1,,,,,,1,,font_8_24,64,,,,,,path,,
020NOBL_clean,elements.csv,,,0.06,,,,,M:1 H:2 V:3 C:2 Z:1,,,,,,1,,font_8_20,65,,,,,,path,,
020NOBL_clean,elements.csv,,,,,,,,,,,,,,0,,clip_10,66,,,,,,clipPath,,
020NOBL_clean,elements.csv,,,969287.04,,,,,M:1 H:2 V:2,,,,,,1,,,67,,,,,,path,,
020NOBL_clean,elements.csv,,,0.47,,,,,M:1 H:5 V:4 L:3 Z:1,,,,,,1,,font_11_48,68,,,,,,path,,
020NOBL_clean,elements.csv,,,0.41,,,,,M:1 C:2 V:4 H:2 Z:1,,,,,,1,,font_11_56,69,,,,,,path,,
020NOBL_clean,elements.csv,,,0.33,,,,,M:1 H:3 V:3 Z:1,,,,,,1,,font_11_47,70,,,,,,path,,
020NOBL_clean,elements.csv,,,0.45,,,,,M:1 H:4 V:4 Z:1,,,,,,1,,font_11_55,71,,,,,,path,,
020NOBL_clean,elements.csv,,,0.21,,,,,M:1 H:6 V:6 Z:1,,,,,,1,,font_11_44,72,,,,,,path,,
020NOBL_clean,elements.csv,,,0.46,,,,,M:2 C:4 H:5 V:3 Z:1,,,,,,1,,font_11_51,73,,,,,,path,,
020NOBL_clean,elements.csv,,,0.35,,,,,M:1 H:6 V:6 Z:1,,,,,,1,,font_11_40,74,,,,,,path,,
020NOBL_clean,elements.csv,,,,,,,,M:1 Z:1,,,,,,0,,font_11_3,75,,,,,,path,,
020NOBL_clean,elements.csv,,,0.40,,,,,M:1 C:3 V:2 H:2 Z:1,,,,,,1,,font_11_54,76,,,,,,path,,
020NOBL_clean,elements.csv,,,0.51,,,,,M:2 C:2 Z:1,,,,,,0,,font_11_50,77,,,,,,path,,
020NOBL_clean,elements.csv,,,0.46,,,,,M:2 H:6 L:2 V:3 C:3 Z:1,,,,,,1,,font_11_53,78,,,,,,path,,
020NOBL_clean,elements.csv,,,0.45,,,,,M:1 C:2 V:2 H:2 Z:1,,,,,,1,,font_11_38,79,,,,,,path,,
020NOBL_clean,elements.csv,,,0.34,,,,,M:1 H:5 V:5 Z:1,,,,,,1,,font_11_41,80,,,,,,path,,
020NOBL_clean,elements.csv,,,0.65,,,,,M:1 H:5 L:4 Z:1,,,,,,1,,font_11_58,81,,,,,,path,,
020NOBL_clean,elements.csv,,,,,,,,,,,,,,0,,clip_12,82,,,,,,clipPath,,
020NOBL_clean,elements.csv,,,969287.04,,,,,M:1 H:2 V:2,,,,,,1,,,83,,,,,,path,,
020NOBL_clean,elements.csv,,,0.47,,,,,M:1 V:2 L:4 H:3 C:1 Z:1,,,,,,1,,font_8_60,84,,,,,,path,,
020NOBL_clean,elements.csv,,,0.47,,,,,M:1 H:4 L:5 C:2 Z:1,,,,,,1,,font_8_59,85,,,,,,path,,
020NOBL_clean,elements.csv,,,0.02,,,,,M:1 V:2 H:2 Z:1,,,,,,1,,font_8_16,86,,,,,,path,,
020NOBL_clean,elements.csv,,,0.35,,,,,M:2 C:2 Z:1,,,,,,0,,font_8_25,87,,,,,,path,,
020NOBL_clean,elements.csv,,,,,,,,,,,,,,0,,,88,,,,,,g,,
020NOBL_clean,elements.csv,,,,,,,,,,,,,,0,,,89,,,,,,g,,
020NOBL_clean,elements.csv,,,432.35,,,,,M:1 V:2 H:2,,,,,none,1,,,90,,,,#ff00ff,12.0,path,,
020NOBL_clean,elements.csv,,,433.85,,,,,M:1 V:2 H:2,,,,,none,1,,,91,,,,#ff00ff,12.0,path,,
020NOBL_clean,elements.csv,,,433.85,,,,,M:1 V:2 H:2,,,,,none,1,,,92,,,,#ff00ff,12.0,path,,
020NOBL_clean,elements.csv,,,433.85,,,,,M:1 V:2 H:2,,,,,none,1,,,93,,,,#ff00ff,12.0,path,,
020NOBL_clean,elements.csv,,,433.85,,,,,M:1 V:2 H:2,,,,,none,1,,,94,,,,#ff00ff,12.0,path,,
