source_file,csv_name,C:\Users\kschi\OneDrive\Desktop\Placards\TEST_SVGs\264BOAT_clean.svg,area,area_est,axis,bbox_area_sum,bin_center,check,commands,count,coverage_percent,def_id,file,fill,has_HV,href,id,index,kind_prop,opacity,rank,stroke,stroke_width,tag,value,vb_area
264BOAT_clean,elements.csv,,,0.52,,,,,M:1 C:2 V:4 H:3 Z:1,,,,,,1,,font_8_42,33,,,,,,path,,
264BOAT_clean,elements.csv,,,,,,,,M:1 Z:1,,,,,,0,,font_8_3,34,,,,,,path,,
264BOAT_clean,elements.csv,,,0.38,,,,,M:1 H:5 V:5 Z:1,,,,,,1,,font_8_41,35,,,,,,path,,
264BOAT_clean,elements.csv,,,0.57,,,,,M:2 C:2 Z:1,,,,,,0,,font_8_50,36,,,,,,path,,
264BOAT_clean,elements.csv,,,0.51,,,,,M:2 C:3 H:6 V:3 L:2 Z:1,,,,,,1,,font_8_53,37,,,,,,path,,
264BOAT_clean,elements.csv,,,0.55,,,,,M:1 H:5 V:4 L:3 Z:1,,,,,,1,,font_8_48,38,,,,,,path,,
264BOAT_clean,elements.csv,,,0.47,,,,,M:1 H:4 V:4 Z:1,,,,,,1,,font_8_55,39,,,,,,path,,
264BOAT_clean,elements.csv,,,0.32,,,,,M:1 V:3 H:3 Z:1,,,,,,1,,font_5_47,40,,,,,,path,,
264BOAT_clean,elements.csv,,,0.51,,,,,M:2 V:2 H:4 C:2 Z:1,,,,,,1,,font_5_39,41,,,,,,path,,
264BOAT_clean,elements.csv,,,0.46,,,,,M:2 V:3 H:5 C:2 Z:1,,,,,,1,,font_5_51,42,,,,,,path,,
264BOAT_clean,elements.csv,,,0.07,,,,,M:1 V:2 H:2 Z:1,,,,,,1,,font_5_44,43,,,,,,path,,
264BOAT_clean,elements.csv,,,0.49,,,,,M:1 V:4 H:5 L:4 C:1 Z:1,,,,,,1,,font_5_48,44,,,,,,path,,
264BOAT_clean,elements.csv,,,0.34,,,,,M:1 H:2 V:4 C:2 Z:1,,,,,,1,,font_5_56,45,,,,,,path,,
264BOAT_clean,elements.csv,,,0.01,,,,,M:1 V:2 H:2 Z:1,,,,,,1,,font_5_17,46,,,,,,path,,
264BOAT_clean,elements.csv,,,0.21,,,,,M:1 H:2 L:1 Z:1,,,,,,1,,font_5_18,47,,,,,,path,,
264BOAT_clean,elements.csv,,,0.34,,,,,M:3 C:3 Z:1,,,,,,0,,font_5_27,48,,,,,,path,,
264BOAT_clean,elements.csv,,,0.07,,,,,M:2 V:4 H:4 L:2 Z:1,,,,,,1,,font_5_5,49,,,,,,path,,
264BOAT_clean,elements.csv,,,0.41,,,,,M:1 V:4 L:2 C:1 H:4 Z:1,,,,,,1,,font_5_61,50,,,,,,path,,
264BOAT_clean,elements.csv,,,0.47,,,,,M:1 C:3 V:2 H:2 Z:1,,,,,,1,,font_8_38,51,,,,,,path,,
264BOAT_clean,elements.csv,,,0.48,,,,,M:1 C:2 V:4 H:2 Z:1,,,,,,1,,font_8_56,52,,,,,,path,,
264BOAT_clean,elements.csv,,,0.10,,,,,M:2 H:4 V:4 Z:1,,,,,,1,,font_8_29,53,,,,,,path,,
264BOAT_clean,elements.csv,,,0.08,,,,,M:2 V:4 H:4 L:1 Z:1,,,,,,1,,font_5_4,54,,,,,,path,,
264BOAT_clean,elements.csv,,,0.47,,,,,M:1 V:2 L:4 H:3 C:1 Z:1,,,,,,1,,font_5_60,55,,,,,,path,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,56,,,,,,g,,
264BOAT_clean,elements.csv,,,,,,,,,,,,,,0,,,57,,,,,,g,,
264BOAT_clean,elements.csv,,,,,,,,M:1 V:1,,,,,none,1,,,58,,,,#000000,12.0,path,,
264BOAT_clean,elements.csv,,,104.24,,,,,M:1 H:2 V:2,,,,,none,1,,,59,,,,#411f9e,12.0,path,,
264BOAT_clean,elements.csv,,,104.24,,,,,M:1 H:2 V:2,,,,,none,1,,,60,,,,#411f9e,12.0,path,,
264BOAT_clean,elements.csv,,,103.42,,,,,M:1 H:2 V:2,,,,,none,1,,,61,,,,#411f9e,12.0,path,,
264BOAT_clean,elements.csv,,,104.70,,,,,M:1 H:2 V:2,,,,,none,1,,,62,,,,#411f9e,12.0,path,,
264BOAT_clean,elements.csv,,,104.70,,,,,M:1 H:2 V:2,,,,,none,1,,,63,,,,#411f9e,12.0,path,,
264BOAT_clean,elements.csv,,,104.24,,,,,M:1 H:2 V:2,,,,,none,1,,,64,,,,#411f9e,12.0,path,,
264BOAT_clean,elements.csv,,,104.24,,,,,M:1 H:2 V:2,,,,,none,1,,,65,,,,#411f9e,12.0,path,,
264BOAT_clean,elements.csv,,,104.24,,,,,M:1 H:2 V:2,,,,,none,1,,,66,,,,#411f9e,12.0,path,,
264BOAT_clean,elements.csv,,,104.24,,,,,M:1 H:2 V:2,,,,,none,1,,,67,,,,#411f9e,12.0,path,,
264BOAT_clean,elements.csv,,,104.70,,,,,M:1 H:2 V:2,,,,,none,1,,,68,,,,#411f9e,12.0,path,,
264BOAT_clean,elements.csv,,,104.24,,,,,M:1 H:2 V:2,,,,,none,1,,,69,,,,#411f9e,12.0,path,,
264BOAT_clean,elements.csv,,,103.42,,,,,M:1 H:2 V:2,,,,,none,1,,,70,,,,#411f9e,12.0,path,,
264BOAT_clean,elements.csv,,,103.42,,,,,M:1 H:2 V:2,,,,,none,1,,,71,,,,#411f9e,12.0,path,,
264BOAT_clean,elements.csv,,,104.24,,,,,M:1 H:2 V:2,,,,,none,1,,,72,,,,#411f9e,12.0,path,,
264BOAT_clean,elements.csv,,,103.42,,,,,M:1 H:2 V:2,,,,,none,1,,,73,,,,#411f9e,12.0,path,,
264BOAT_clean,elements.csv,,,103.42,,,,,M:1 H:2 V:2,,,,,none,1,,,74,,,,#411f9e,12.0,path,,
264BOAT_clean,elements.csv,,,104.24,,,,,M:1 H:2 V:2,,,,,none,1,,,75,,,,#411f9e,12.0,path,,
264BOAT_clean,elements.csv,,,103.42,,,,,M:1 H:2 V:2,,,,,none,1,,,76,,,,#411f9e,12.0,path,,
